Fecha,Turno,Operario,Supervisor,Maquina_Linea,Sector,OF_Lote,Estado_Lote,Fecha_Cierre_Lote,Cod_Producto,Desc_Producto,Hora_Inicio,Hora_Fin,Tiempo_Total_min,Tiempo_Setup_min,Tiempo_Parada_min,Motivo_Parada,Tipo_Parada,Tiempo_Productivo_min,Cant_Producida,Cant_Rechazada,Unidad_Medida,Velocidad_Estandar_uh,Meta_Produccion,Cumplimiento_Meta_pct,Disponibilidad_pct,Rendimiento_pct,Calidad_pct,OEE_pct,Observaciones
2026-08-04,Mañana,OP-101,SUP-01,EXT-02,Extrusion,OF-4111,Cerrado,2026-08-06,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,20,80,Falla electrica,No Planificada,380.0,6290,72,metros,1200,7871,79.9,79.2,82.8,98.9,64.8,
2026-08-04,Mañana,OP-102,SUP-01,TRZ-01,Trenzado,OF-4112,Cerrado,2026-08-06,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,0,45,Falla mecanica,No Planificada,435.0,6182,449,metros,950,6232,99.2,90.6,89.8,93.2,75.8,
2026-08-04,Tarde,OP-104,SUP-02,EXT-01,Extrusion,OF-4113,Cerrado,2026-08-07,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,20,0,,,460.0,5885,23,metros,950,6232,94.4,95.8,80.8,99.6,77.1,
2026-08-04,Tarde,OP-102,SUP-02,EXT-02,Extrusion,OF-4114,Abierto,,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,20,45,Mantenimiento programado,Planificada,415.0,7839,350,metros,1400,9184,85.4,86.5,81.0,95.7,67.0,
2026-08-04,Tarde,OP-104,SUP-02,TRZ-01,Trenzado,OF-4115,Abierto,,P-2075,Perfil flexible 75mm,14:00,,,45,0,,,,5410,50,metros,950,6232,86.8,,,99.1,,
2026-08-04,Noche,OP-105,SUP-03,EXT-01,Extrusion,OF-4116,Cerrado,2026-08-07,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,0,15,Falla mecanica,No Planificada,465.0,9543,163,metros,1400,9184,103.9,96.9,88.0,98.3,83.8,
2026-08-04,Noche,OP-102,SUP-03,EXT-02,Extrusion,OF-4117,Abierto,,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,20,50,Falla eléctrica,No Planificada,410.0,7819,584,metros,1400,9184,85.1,85.4,81.7,93.1,65.0,
2026-08-04,Noche,OP-101,SUP-03,TRZ-01,Trenzado,OF-4118,Abierto,,P-1140,Perfil rigido 40mm,22:00,06:00,480.0,0,30,Ajuste de calidad,No Planificada,450.0,7789,153,metros,1200,7871,99.0,93.8,86.5,98.1,79.6,
2026-08-05,Mañana,OP-105,SUP-01,EXT-01,Extrusion,OF-4119,Cerrado,2026-08-06,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,0,0,,,480.0,8287,108,metros,1200,7871,105.3,100,86.3,98.7,85.2,
2026-08-05,Mañana,OP-105,SUP-01,EXT-02,Extrusion,OF-4120,Cerrado,2026-08-08,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,30,65,Falla electrica,No Planificada,385.0,5469,31,metros,950,6232,87.8,80.2,89.7,99.4,71.6,
2026-08-05,Mañana,OP-106,SUP-01,TRZ-01,Trenzado,OF-4121,Cerrado,2026-08-07,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,15,0,,,465.0,7639,43,metros,1200,7871,97.1,96.9,82.1,99.4,79.1,
2026-08-05,Tarde,OP-102,SUP-02,EXT-01,Extrusion,OF-4122,Cerrado,2026-08-07,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,15,45,Falla mecanica,No Planificada,420.0,5786,447,metros,950,6232,92.8,87.5,87.0,92.8,70.7,
2026-08-05,Tarde,OP-106,SUP-02,EXT-02,Extrusion,OF-4123,Cerrado,2026-08-07,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,0,120,Falta de insumo,No Planificada,360.0,5445,58,metros,950,6232,87.4,75.0,95.5,98.9,70.9,
2026-08-05,Tarde,OP-104,SUP-02,TRZ-01,Trenzado,OF-4124,Cerrado,2026-08-06,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,30,90,Cambio de formato,Planificada,360.0,6364,59,metros,1200,7871,80.9,75.0,88.4,99.1,65.7,
2026-08-05,Noche,OP-101,SUP-03,EXT-01,Extrusion,OF-4125,Cerrado,2026-08-08,P-1140,Perfil rigido 40mm,22:00,06:00,480.0,20,30,Ajuste de calidad,No Planificada,430.0,7324,144,metros,1200,7871,93.1,89.6,85.2,98.1,74.8,
2026-08-05,Noche,OP-103,SUP-03,EXT-02,Extrusion,OF-4126,Cerrado,2026-08-08,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,45,165,Falla electrica,No Planificada,270.0,5668,53,metros,1400,9184,61.7,56.2,90.0,99.1,50.1,
2026-08-05,Noche,OP-105,SUP-03,TRZ-01,Trenzado,OF-4127,Cerrado,2026-08-08,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,45,110,Falta de insumo,No Planificada,325.0,7116,89,metros,1400,9184,77.5,67.7,93.8,98.8,62.8,
2026-08-06,Mañana,OP-106,SUP-01,EXT-01,Extrusion,OF-4128,Cerrado,2026-08-08,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,0,45,Ajuste de calidad,No Planificada,435.0,6421,72,metros,950,6232,103.0,90.6,93.2,98.9,83.5,
2026-08-06,Mañana,OP-104,SUP-01,EXT-02,Extrusion,OF-4129,Cerrado,2026-08-07,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,30,0,,,450.0,5686,98,metros,950,6232,91.2,93.8,79.8,98.3,73.5,
2026-08-06,Mañana,OP-101,SUP-01,TRZ-01,Trenzado,OF-4130,Abierto,,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,45,35,Falla mecanica,No Planificada,400.0,6864,200,metros,1200,7871,87.2,83.3,85.8,97.2,69.5,
2026-08-06,Tarde,OP-102,SUP-02,EXT-01,Extrusion,OF-4131,Cerrado,2026-08-07,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,15,45,Ajuste de calidad,No Planificada,420.0,7455,536,metros,1200,7871,94.7,87.5,88.8,93.3,72.4,
2026-08-06,Tarde,OP-101,SUP-02,EXT-02,Extrusion,OF-4132,Cerrado,2026-08-08,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,20,0,,,460.0,10010,170,metros,1400,9184,109.0,95.8,93.3,98.3,87.9,
2026-08-06,Tarde,OP-104,SUP-02,TRZ-01,Trenzado,OF-4133,Abierto,,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,30,20,Falla mecanica,No Planificada,430.0,7073,50,metros,1200,7871,89.9,89.6,82.2,99.3,73.2,
2026-08-06,Noche,OP-104,SUP-03,EXT-01,Extrusion,OF-4134,Cerrado,2026-08-08,P-1140,Perfil rigido 40mm,22:00,06:00,480.0,15,45,Falla mecanica,No Planificada,420.0,6470,136,metros,1200,7871,82.2,87.5,77.0,97.9,66.0,
2026-08-06,Noche,OP-106,SUP-03,EXT-02,Extrusion,OF-4135,Cerrado,2026-08-07,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,30,100,falla electrica,No Planificada,350.0,6730,27,metros,1400,9184,73.3,72.9,82.4,99.6,59.8,
2026-08-06,Noche,OP-103,SUP-03,TRZ-01,Trenzado,OF-4136,Cerrado,2026-08-08,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,30,60,Falla mecanica,No Planificada,390.0,5377,155,metros,950,6232,86.3,81.2,87.1,97.2,68.8,
2026-08-07,Mañana,OP-101,SUP-01,EXT-01,Extrusion,OF-4137,Cerrado,2026-08-08,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,15,30,Cambio de formato,Planificada,435.0,6677,56,metros,950,6232,107.1,90.6,96.9,99.2,87.1,
2026-08-07,Mañana,OP-106,SUP-01,EXT-02,Extrusion,OF-4138,Cerrado,2026-08-09,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,0,20,,,460.0,5909,114,metros,950,6232,94.8,95.8,81.1,98.1,76.3,
2026-08-07,Mañana,OP-101,SUP-01,TRZ-01,Trenzado,OF-4139,Abierto,,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,20,20,Falta de insumo,No Planificada,440.0,8701,96,metros,1200,7871,110.5,91.7,98.9,98.9,89.6,
2026-08-07,Tarde,OP-106,SUP-02,EXT-01,Extrusion,OF-4140,Abierto,,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,30,0,,,450.0,6581,67,metros,950,6232,105.6,93.8,92.4,99.0,85.7,
2026-08-07,Tarde,OP-104,SUP-02,EXT-02,Extrusion,OF-4141,Cerrado,2026-08-09,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,20,0,,,460.0,5583,32,metros,950,6232,89.6,95.8,76.7,99.4,73.0,
2026-08-07,Tarde,OP-103,SUP-02,TRZ-01,Trenzado,OF-4142,Cerrado,2026-08-09,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,30,20,Falta de insumo,No Planificada,430.0,6672,29,metros,950,6232,107.1,89.6,98.0,99.6,87.4,
2026-08-07,Noche,OP-106,SUP-03,EXT-01,Extrusion,OF-4143,Abierto,,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,15,0,,,465.0,7093,67,metros,950,6232,113.8,96.9,96.3,99.1,92.5,
2026-08-07,Noche,OP-101,SUP-03,EXT-02,Extrusion,OF-4144,Cerrado,2026-08-10,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,20,15,Falta de insumo,No Planificada,445.0,8703,155,metros,1400,9184,94.8,92.7,83.8,98.3,76.3,
2026-08-07,Noche,OP-104,SUP-03,TRZ-01,Trenzado,OF-4145,Cerrado,2026-08-08,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,0,45,Falla mecanica,No Planificada,435.0,5174,34,metros,950,6232,83.0,90.6,75.1,99.3,67.6,
2026-08-10,Mañana,OP-103,SUP-01,EXT-01,Extrusion,OF-4146,Abierto,,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,15,30,Mantenimiento programado,Planificada,435.0,8227,162,metros,1200,7871,104.5,90.6,94.6,98.1,84.0,
2026-08-10,Mañana,OP-105,SUP-01,EXT-02,Extrusion,OF-4147,Cerrado,2026-08-12,P-3310,Cordon trenzado 10mm,06:00,14:00,480.0,45,20,Mantenimiento programado,Planificada,415.0,8379,113,metros,1400,9184,91.2,86.5,86.5,98.7,73.8,
2026-08-10,Mañana,OP-103,SUP-01,TRZ-01,Trenzado,OF-4148,Cerrado,2026-08-12,P-3310,Cordon trenzado 10mm,06:00,14:00,480.0,15,60,Falla mecanica,No Planificada,405.0,8769,165,metros,1400,9184,95.5,84.4,92.8,98.2,76.8,
2026-08-10,Tarde,OP-105,SUP-02,EXT-01,Extrusion,OF-4149,Cerrado,2026-08-11,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,45,0,,,435.0,9931,295,metros,1400,9184,108.1,90.6,97.8,97.1,86.1,
2026-08-10,Tarde,OP-104,SUP-02,EXT-02,Extrusion,OF-4150,Cerrado,2026-08-11,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,0,0,,,480.0,6134,57,metros,950,6232,98.4,100,80.7,99.1,80.0,
2026-08-10,Tarde,OP-106,SUP-02,TRZ-01,Trenzado,OF-4151,Cerrado,2026-08-12,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,20,0,,,460.0,7999,175,metros,1200,7871,101.6,95.8,86.9,97.9,81.5,
2026-08-10,Noche,OP-102,SUP-03,EXT-01,Extrusion,OF-4152,Cerrado,2026-08-11,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,45,45,Falta de insumo,No Planificada,390.0,8974,508,metros,1400,9184,97.7,81.2,98.6,94.6,75.8,
2026-08-10,Noche,OP-102,SUP-03,EXT-02,Extrusion,OF-4153,Cerrado,2026-08-11,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,20,0,,,460.0,10085,666,metros,1400,9184,109.8,95.8,94.0,93.8,84.5,
2026-08-10,Noche,OP-102,SUP-03,TRZ-01,Trenzado,OF-4154,Cerrado,2026-08-11,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,0,30,Ajuste de calidad,No Planificada,450.0,5733,234,metros,950,6232,92.0,93.8,80.5,96.1,72.5,
2026-08-11,Mañana,OP-103,SUP-01,EXT-01,Extrusion,OF-4155,Abierto,,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,20,0,,,460.0,6949,62,metros,950,6232,111.5,95.8,95.4,99.1,90.6,
2026-08-11,Mañana,OP-101,SUP-01,EXT-02,Extrusion,OF-4156,Cerrado,2026-08-13,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,0,45,Mantenimiento programado,Planificada,435.0,6004,121,metros,950,6232,96.3,90.6,87.2,98.0,77.4,
2026-08-11,Mañana,OP-102,SUP-01,TRZ-01,Trenzado,OF-4157,Cerrado,2026-08-13,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,0,45,Ajuste de calidad,No Planificada,435.0,6499,467,metros,950,6232,104.3,90.6,94.4,93.3,79.8,
2026-08-11,Tarde,OP-106,SUP-02,EXT-01,Extrusion,OF-4158,Cerrado,2026-08-12,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,15,0,,,465.0,9351,84,metros,1400,9184,101.8,96.9,86.2,99.1,82.7,
2026-08-11,Tarde,,SUP-02,EXT-02,Extrusion,OF-4159,Cerrado,2026-08-12,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,20,45,Mantenimiento programado,Planificada,415.0,7144,53,metros,1200,7871,90.8,86.5,86.1,99.3,73.9,
2026-08-11,Tarde,OP-101,SUP-02,TRZ-01,Trenzado,OF-4160,Cerrado,2026-08-14,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,0,95,Falta de insumo,No Planificada,385.0,8293,233,metros,1400,9184,90.3,80.2,92.3,97.3,72.0,
2026-08-11,Noche,OP-104,SUP-03,EXT-01,Extrusion,OF-4161,Cerrado,2026-08-12,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,30,0,,,450.0,7634,141,metros,1400,9184,83.1,93.8,72.7,98.2,66.9,
2026-08-11,Noche,OP-103,SUP-03,EXT-02,Extrusion,OF-4162,Cerrado,2026-08-12,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,0,80,Falta de insumo,No Planificada,400.0,6143,158,metros,950,6232,98.6,83.3,97.0,97.5,78.8,
2026-08-11,Noche,OP-101,SUP-03,TRZ-01,Trenzado,OF-4163,Cerrado,2026-08-13,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,0,30,Ajuste de calidad,No Planificada,450.0,8958,123,metros,1400,9184,97.5,93.8,85.3,98.6,78.9,
2026-08-12,Mañana,OP-102,SUP-01,EXT-01,Extrusion,OF-4164,Cerrado,2026-08-15,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,20,0,,,460.0,7115,481,metros,950,6232,114.2,95.8,97.7,93.7,87.7,
2026-08-12,Mañana,OP-105,SUP-01,EXT-02,Extrusion,OF-4165,Cerrado,2026-08-14,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,0,50,falla electrica,No Planificada,430.0,7375,67,metros,1200,7871,93.7,89.6,85.8,99.1,76.1,
2026-08-12,Mañana,OP-101,SUP-01,TRZ-01,Trenzado,OF-4166,Abierto,,P-3310,Cordon trenzado 10mm,06:00,14:00,480.0,30,0,,,450.0,9935,127,metros,1400,9184,108.2,93.8,94.6,98.7,87.6,
2026-08-12,Tarde,OP-102,SUP-02,EXT-01,Extrusion,OF-4167,Abierto,,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,0,60,Falta de insumo,No Planificada,420.0,5577,266,metros,950,6232,89.5,87.5,83.9,95.4,70.0,
2026-08-12,Tarde,OP-105,SUP-02,EXT-02,Extrusion,OF-4168,Cerrado,2026-08-13,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,20,20,Ajuste de calidad,No Planificada,440.0,8080,226,metros,1200,7871,102.7,91.7,91.8,97.3,81.9,
2026-08-12,Tarde,OP-104,SUP-02,TRZ-01,Trenzado,OF-4169,Cerrado,2026-08-13,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,0,45,Falta de insumo,No Planificada,435.0,7452,154,metros,1200,7871,94.7,90.6,85.7,98.0,76.1,
2026-08-12,Noche,OP-103,SUP-03,EXT-01,Extrusion,OF-4170,Cerrado,2026-08-15,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,45,30,Cambio de formato,Planificada,405.0,5288,95,metros,950,6232,84.9,84.4,82.5,98.2,68.4,
2026-08-12,Noche,OP-103,SUP-03,EXT-02,Extrusion,OF-4171,Abierto,,P-1140,Perfil rigido 40mm,22:00,06:00,480.0,20,100,Falla electrica,No Planificada,360.0,5899,128,metros,1200,7871,74.9,75,81.9,97.9,60.1,
2026-08-12,Noche,OP-106,SUP-03,TRZ-01,Trenzado,OF-4172,Cerrado,2026-08-13,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,15,0,,,465.0,10596,128,metros,1400,9184,115.4,96.9,97.7,98.8,93.5,
2026-08-13,Mañana,OP-105,SUP-01,EXT-01,Extrusion,OF-4173,Abierto,,P-2075,Perfil flexible 75mm,06:00,14:00,480.0,30,80,Falta de insumo,No Planificada,370.0,5560,123,metros,950,6232,89.2,77.1,94.9,97.8,71.6,
2026-08-13,Mañana,OP-104,,EXT-02,Extrusion,OF-4174,Cerrado,2026-08-15,P-1140,,06:00,14:00,480.0,20,140,Falla electrica,No Planificada,320.0,5207,61,metros,1200,7871,66.2,66.7,81.4,98.8,53.6,
2026-08-13,Mañana,OP-102,SUP-01,TRZ-01,Trenzado,OF-4175,Cerrado,2026-08-15,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,15,65,Cambio de formato,Planificada,400.0,7673,430,metros,1200,7871,97.5,83.3,95.9,94.7,75.7,
2026-08-13,Tarde,OP-103,SUP-02,EXT-01,Extrusion,OF-4176,Cerrado,2026-08-14,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,45,0,,,435.0,8085,74,metros,1200,7871,102.7,90.6,92.9,99.1,83.5,
2026-08-13,Tarde,OP-102,SUP-02,EXT-02,Extrusion,OF-4177,Cerrado,2026-08-14,P-1140,Perfil rigido 40mm,14:00,22:00,480.0,15,80,Falla eléctrica,No Planificada,385.0,7589,304,metros,1200,7871,96.4,80.2,98.6,96.1,76.0,
2026-08-13,Tarde,OP-105,SUP-02,TRZ-01,Trenzado,OF-4178,Abierto,,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,0,35,Cambio de formato,Planificada,445.0,9019,160,metros,1400,9184,98.2,92.7,86.9,98.3,79.1,
2026-08-13,Noche,OP-102,SUP-03,EXT-01,Extrusion,OF-4179,Abierto,,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,15,0,,,465.0,10141,563,metros,1400,9184,110.4,96.9,93.5,94.7,85.8,
2026-08-13,Noche,OP-103,SUP-03,EXT-02,Extrusion,OF-4180,Cerrado,2026-08-16,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,0,30,Falta de insumo,No Planificada,450.0,8943,203,metros,1400,9184,97.4,93.8,85.2,97.8,78.1,
2026-08-13,Noche,OP-104,SUP-03,TRZ-01,Trenzado,OF-4181,Cerrado,2026-08-14,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,45,0,,,435.0,5734,156,metros,950,6232,92.0,90.6,83.3,97.4,73.4,
2026-08-14,Mañana,OP-101,SUP-01,EXT-01,Extrusion,OF-4182,Cerrado,2026-08-15,P-3310,Cordon trenzado 10mm,06:00,14:00,480.0,20,15,Falta de insumo,No Planificada,445.0,8523,44,metros,1400,9184,92.8,92.7,82.1,99.5,75.7,
2026-08-14,Mañana,OP-106,SUP-01,EXT-02,Extrusion,OF-4183,Cerrado,2026-08-17,P-3310,Cordon trenzado 10mm,06:00,14:00,480.0,0,120,Falta de insumo,No Planificada,360.0,7050,130,metros,1400,9184,76.8,75,83.9,98.2,61.8,
2026-08-14,Mañana,OP-103,SUP-01,TRZ-01,Trenzado,OF-4184,Cerrado,2026-08-16,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,0,60,Mantenimiento programado,Planificada,420.0,6796,60,metros,1200,7871,86.3,87.5,80.9,99.1,70.2,
2026-08-14,Tarde,OP-104,SUP-02,EXT-01,Extrusion,OF-4185,Cerrado,2026-08-17,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,30,45,Falta de insumo,No Planificada,405.0,7890,228,metros,1400,9184,85.9,84.4,83.5,97.2,68.5,
2026-08-14,Tarde,OP-105,SUP-02,EXT-02,Extrusion,OF-4186,Cerrado,2026-08-15,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,0,130,falla electrica,No Planificada,350.0,4821,98,metros,950,6232,77.4,72.9,87.0,98.0,62.2,
2026-08-14,Tarde,OP-103,SUP-02,TRZ-01,Trenzado,OF-4187,Cerrado,2026-08-15,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,0,95,Mantenimiento programado,Planificada,385.0,8740,151,metros,1400,9184,95.2,80.2,97.3,98.3,76.7,
2026-08-14,Noche,OP-105,SUP-03,EXT-01,Extrusion,OF-4188,Cerrado,2026-08-17,P-1140,Perfil rigido 40mm,22:00,06:00,480.0,0,0,,,480.0,8515,231,metros,1200,7871,108.2,100,88.7,97.4,86.4,
2026-08-14,Noche,OP-105,SUP-03,EXT-02,Extrusion,OF-4189,Cerrado,2026-08-15,P-3310,Cordon trenzado 10mm,22:00,06:00,480.0,0,0,,,480.0,9707,236,metros,1400,9184,105.7,100,86.7,97.6,84.6,
2026-08-14,Noche,OP-106,SUP-03,TRZ-01,Trenzado,OF-4190,Abierto,,P-1140,Perfil rigido 40mm,22:00,06:00,480.0,45,45,Falta de insumo,No Planificada,390.0,7222,116,metros,1200,7871,91.8,81.2,92.6,98.4,74.0,
2026-08-17,Mañana,OP-104,SUP-01,EXT-01,Extrusion,OF-4191,Cerrado,2026-08-20,P-3310,Cordon trenzado 10mm,06:00,14:00,480.0,0,0,,,480.0,9244,277,metros,1400,9184,100.7,100,82.5,97.1,80.1,
2026-08-17,Mañana,OP-106,SUP-01,EXT-02,Extrusion,OF-4192,Cerrado,2026-08-20,P-3310,Cordon trenzado 10mm,06:00,14:00,480.0,0,50,Mantenimiento programado,Planificada,430.0,8905,103,metros,1400,9184,97.0,89.6,88.8,98.9,78.6,
2026-08-17,Mañana,OP-103,SUP-01,TRZ-01,Trenzado,OF-4193,Cerrado,2026-08-18,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,0,0,,,480.0,8744,101,metros,1200,7871,111.1,100,91.1,98.9,90.0,
2026-08-17,Tarde,OP-106,SUP-02,EXT-01,Extrusion,OF-4194,Cerrado,2026-08-20,P-2075,Perfil flexible 75mm,14:00,22:00,480.0,0,75,Ajuste de calidad,No Planificada,405.0,5800,68,metros,950,6232,93.1,84.4,90.4,98.8,75.4,
2026-08-17,Tarde,OP-106,SUP-02,EXT-02,Extrusion,OF-4195,Cerrado,2026-08-20,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,20,0,,,460.0,10006,105,metros,1400,9184,109.0,95.8,93.2,99.0,88.4,
2026-08-17,Tarde,OP-104,SUP-02,TRZ-01,Trenzado,OF-4196,Cerrado,2026-08-19,P-3310,Cordon trenzado 10mm,14:00,22:00,480.0,30,75,Falta de insumo,No Planificada,375.0,7229,189,metros,1400,9184,78.7,78.1,82.6,97.5,62.9,
2026-08-17,Noche,OP-105,SUP-03,EXT-01,Extrusion,OF-4197,Cerrado,2026-08-18,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,20,15,Mantenimiento programado,Planificada,445.0,5923,112,metros,,6232,95.0,92.7,,98.1,,
2026-08-17,Noche,OP-104,SUP-03,EXT-02,Extrusion,OF-4198,Abierto,,P-2075,Perfil flexible 75mm,22:00,06:00,480.0,30,100,falla electrica,No Planificada,350.0,4544,51,metros,950,6232,72.9,72.9,82.0,98.9,59.1,
2026-08-17,Noche,OP-104,SUP-03,TRZ-01,Trenzado,OF-4199,Cerrado,2026-08-19,P-1140,Perfil rigido 40mm,22:00,06:00,480.0,0,30,Mantenimiento programado,Planificada,450.0,7272,86,metros,1200,7871,92.4,93.8,80.8,98.8,74.9,
2026-08-18,Mañana,OP-105,SUP-01,EXT-01,Extrusion,OF-4200,Cerrado,2026-08-19,P-1140,Perfil rigido 40mm,06:00,14:00,480.0,20,20,Ajuste de calidad,No Planificada,440.0,7424,30,metros,1200,7871,94.3,91.7,84.4,99.6,77.0,
